Student_ID,Previous_Score,Study_Time_Hours,Num_Revisions,Time_Gap_Days,Quiz_Score,Final_Score,Knowledge_Retention_Score,Risk_Level
77,46.65,31.16,7,13,76.04,54.04,46.79,High Risk
78,63.58,37.04,7,26,71.41,53.37,46.7,High Risk
79,92.51,23.61,0,7,76.1,52.2,46.98,High Risk
80,82.75,20.5,6,28,51.15,41.95,32.57,High Risk
81,64.77,25.01,10,10,72.36,59.18,55.06,Medium Risk
82,64.76,31.01,1,23,79.29,44.32,39.47,High Risk
83,65.18,10.56,0,6,92.73,48.44,42.48,High Risk
84,100.0,2.04,2,3,68.78,48.7,38.65,High Risk
85,75.73,19.49,3,26,65.3,45.58,33.0,High Risk
86,76.45,12.79,5,3,68.98,58.02,50.9,Medium Risk
87,85.45,19.92,9,18,85.98,62.65,54.45,Medium Risk
88,73.58,23.52,4,11,78.95,55.46,49.12,High Risk
89,66.11,20.47,3,22,68.64,48.56,36.34,High Risk
90,67.05,39.52,7,20,81.16,65.03,56.16,Medium Risk
91,68.93,28.27,10,5,76.16,63.12,63.23,Medium Risk
92,69.44,28.0,3,19,86.62,52.61,45.21,High Risk
93,80.91,31.22,9,22,66.58,53.44,46.59,High Risk
94,70.78,13.61,1,27,71.07,33.41,22.83,High Risk
95,80.99,35.39,2,28,70.29,53.41,45.53,High Risk
96,68.79,24.24,5,19,57.44,50.11,42.54,High Risk
97,71.18,31.7,7,30,78.55,53.91,49.23,High Risk
98,40.03,14.28,7,15,78.13,51.32,44.21,High Risk
99,83.74,9.46,10,30,75.06,52.2,42.24,High Risk
100,75.2,33.18,8,16,72.18,57.04,50.84,Medium Risk
101,84.97,28.76,6,24,58.02,47.66,38.0,High Risk
102,26.56,15.98,1,9,69.95,34.84,24.24,High Risk
103,100.0,16.3,7,4,70.89,66.78,62.35,Medium Risk
104,67.91,36.25,6,15,65.37,50.96,46.73,High Risk
105,86.62,13.11,7,25,73.06,53.21,47.76,High Risk
106,54.4,41.43,2,12,79.85,53.77,47.47,High Risk
107,79.19,15.99,6,23,97.63,49.96,45.64,High Risk
108,54.2,31.38,9,3,77.09,56.78,53.05,Medium Risk
109,60.64,21.71,8,23,78.09,50.07,41.8,High Risk
110,98.71,31.03,2,14,74.11,62.24,57.48,Medium Risk
111,67.14,19.56,9,17,51.97,46.75,36.42,High Risk
112,73.26,23.37,5,19,74.68,58.79,54.99,Medium Risk
113,83.05,25.41,1,6,75.72,51.15,43.79,High Risk
114,77.44,14.98,1,4,100.0,58.44,54.73,Medium Risk
115,72.26,32.41,4,7,72.69,58.21,51.0,Medium Risk
116,75.47,19.87,4,30,78.62,47.2,36.02,High Risk
117,100.0,22.71,6,19,74.58,52.65,44.6,High Risk
118,69.14,15.06,1,17,60.98,42.64,30.65,High Risk
119,73.02,0.0,10,25,88.71,46.41,37.93,High Risk
120,85.76,23.09,6,16,84.02,52.96,44.19,High Risk
121,86.58,49.13,4,15,84.49,65.28,61.41,Medium Risk
122,87.81,32.85,5,22,64.09,48.55,43.25,High Risk
123,79.58,24.81,7,8,91.83,71.14,68.31,Medium Risk
124,52.85,22.37,9,19,58.18,50.79,45.97,High Risk
125,94.5,25.22,3,8,82.04,70.75,62.59,Medium Risk
126,52.8,30.47,6,18,100.0,54.81,49.35,High Risk
127,74.54,13.19,5,28,63.11,43.93,33.3,High Risk
128,58.69,36.14,9,16,68.2,47.22,39.05,High Risk
129,69.04,32.15,1,20,76.2,45.23,39.62,High Risk
130,74.93,32.18,7,19,68.96,52.23,50.04,Medium Risk
131,74.82,29.38,9,10,56.39,59.82,52.91,Medium Risk
132,76.33,25.2,8,17,75.82,60.2,51.38,Medium Risk
133,94.21,31.73,4,13,62.25,54.56,50.04,Medium Risk
134,76.8,30.92,9,13,80.68,48.98,45.37,High Risk
135,66.34,21.46,3,7,63.97,50.01,43.32,High Risk
136,84.46,19.26,5,27,93.6,53.4,49.09,High Risk
137,87.84,26.02,7,10,65.6,62.58,59.85,Medium Risk
138,51.59,40.49,10,2,71.14,68.18,63.7,Medium Risk
139,78.96,12.61,2,4,84.76,53.19,46.61,High Risk
140,80.52,10.32,9,25,60.23,50.2,44.83,High Risk
141,65.54,26.65,10,6,77.73,55.02,47.3,High Risk
142,90.64,25.51,10,24,90.69,62.1,55.96,Medium Risk
143,67.75,26.73,0,18,55.71,37.83,28.13,High Risk
144,71.88,27.44,3,23,77.22,49.35,41.34,High Risk
145,67.4,22.77,3,6,78.12,46.27,36.53,High Risk
146,70.23,39.9,0,29,84.38,54.79,47.42,High Risk
147,53.56,8.99,8,30,60.16,38.57,28.11,High Risk
148,48.4,16.72,2,25,59.15,39.83,26.21,High Risk
149,93.92,23.97,4,23,81.26,55.86,48.36,High Risk
150,57.3,8.57,5,17,78.56,50.11,43.77,High Risk
151,55.13,23.24,7,14,78.01,45.44,37.91,High Risk
152,37.7,41.61,5,24,79.16,50.08,43.99,High Risk
153,60.42,25.21,2,11,66.84,53.62,45.45,High Risk
154,50.15,27.31,5,26,77.79,45.39,38.3,High Risk
155,94.63,12.4,0,19,78.52,41.7,33.18,High Risk
156,85.15,18.84,3,30,66.43,42.89,30.97,High Risk
157,59.68,21.25,5,2,97.39,59.73,54.19,Medium Risk
158,100.0,21.82,6,28,80.69,53.86,44.33,High Risk
159,84.73,37.82,10,3,60.7,68.01,63.02,Medium Risk
160,65.13,30.58,10,11,82.88,67.38,67.16,Medium Risk
161,32.51,13.89,9,6,63.3,46.64,38.56,High Risk
162,100.0,27.47,2,29,84.45,51.88,42.38,High Risk
163,49.16,29.98,8,14,88.9,58.19,55.79,Medium Risk
164,45.32,36.4,6,19,65.15,50.28,41.8,High Risk
165,85.34,40.81,0,26,86.56,47.69,39.71,High Risk
166,100.0,14.85,1,16,79.95,46.99,43.12,High Risk
167,90.76,16.89,0,21,84.86,47.74,39.37,High Risk
168,78.46,12.42,10,22,97.76,61.42,58.87,Medium Risk
169,78.92,22.66,8,24,72.06,46.95,41.6,High Risk
170,82.8,29.66,8,7,65.96,65.32,61.62,Medium Risk
171,81.38,34.87,6,30,64.33,46.57,43.03,High Risk
172,74.22,24.24,9,27,65.21,45.5,38.56,High Risk
173,71.56,21.8,2,8,74.07,51.27,37.71,High Risk
174,69.06,26.52,4,19,79.09,60.76,54.32,Medium Risk
175,58.69,16.65,3,20,78.32,42.71,35.59,High Risk
176,65.79,45.9,6,16,84.93,68.95,62.68,Medium Risk
177,44.61,8.92,8,22,75.16,36.01,27.5,High Risk
178,68.52,26.85,1,27,92.44,57.58,53.37,Medium Risk
179,55.17,45.24,7,7,71.82,63.42,62.14,Medium Risk
180,53.45,25.07,8,9,100.0,62.06,56.94,Medium Risk
181,72.7,23.1,9,13,82.51,61.94,54.0,Medium Risk
182,90.88,21.43,9,1,64.71,64.27,62.83,Medium Risk
183,83.77,23.2,8,29,62.15,48.33,45.56,High Risk
184,46.44,38.73,9,8,80.79,65.73,59.43,Medium Risk
185,55.16,2.88,6,24,72.32,43.85,30.93,High Risk
186,84.11,40.33,8,22,83.57,61.48,61.83,Medium Risk
187,55.26,10.76,8,4,80.68,49.6,40.85,High Risk
188,66.63,22.33,2,3,74.13,51.77,44.14,High Risk
189,78.25,20.71,3,27,64.84,35.35,26.15,High Risk
190,55.47,30.89,1,3,56.82,48.03,43.52,High Risk
191,71.58,9.02,9,22,69.64,48.33,37.94,High Risk
192,49.99,29.62,2,13,85.28,45.22,36.07,High Risk
193,60.98,45.24,10,8,77.57,64.98,60.59,Medium Risk
194,74.8,11.37,10,7,60.05,54.57,49.77,High Risk
195,46.11,26.9,4,27,77.08,42.06,34.58,High Risk
196,76.61,18.38,4,1,79.62,48.05,46.19,High Risk
197,69.71,29.26,5,27,64.39,39.89,30.44,High Risk
198,78.29,25.19,6,16,76.84,59.0,50.16,Medium Risk
199,73.36,18.59,6,6,75.7,52.55,47.91,High Risk
200,90.46,29.88,0,7,61.28,47.87,43.64,High Risk
201,71.88,43.04,1,12,79.29,56.94,50.08,Medium Risk
202,63.56,23.09,8,23,81.73,56.53,49.12,High Risk
203,71.83,32.2,9,9,88.0,68.33,66.88,Medium Risk
204,78.15,12.07,1,27,87.65,43.69,35.48,High Risk
205,70.73,15.44,5,11,58.47,47.13,38.26,High Risk
206,70.61,29.72,10,10,63.75,59.9,55.26,Medium Risk
207,59.47,39.84,10,21,81.18,61.99,54.99,Medium Risk
208,60.06,28.56,0,1,81.17,52.13,39.07,High Risk
209,48.96,21.87,2,18,81.18,46.46,42.35,High Risk
210,96.24,24.99,1,4,100.0,69.07,63.26,Medium Risk
211,51.34,12.5,2,5,81.85,56.42,50.26,Medium Risk
212,59.61,31.05,4,9,88.63,69.84,63.83,Medium Risk
213,59.22,33.82,10,27,86.45,54.99,46.93,High Risk
214,83.42,20.48,9,17,82.82,58.56,53.04,Medium Risk
215,65.58,20.3,5,3,71.22,66.45,61.16,Medium Risk
216,88.72,27.66,8,16,84.11,61.48,57.84,Medium Risk
217,59.9,20.63,10,5,65.73,57.39,53.67,Medium Risk
218,74.18,24.34,9,16,72.16,52.91,44.11,High Risk
219,57.47,46.0,3,3,69.18,57.83,54.4,Medium Risk
220,100.0,22.53,6,20,75.98,65.66,60.47,Medium Risk
221,52.19,21.42,5,15,100.0,60.41,55.44,Medium Risk
222,74.65,18.52,1,30,52.59,28.59,21.57,High Risk
223,79.51,32.44,9,3,83.24,65.94,63.87,Medium Risk
224,76.21,23.19,10,20,55.65,49.11,40.56,High Risk
225,67.22,18.51,10,14,69.34,51.5,45.39,High Risk
226,68.05,38.21,10,16,88.07,53.12,52.76,Medium Risk
227,70.66,39.2,7,29,75.77,57.14,48.12,High Risk
228,67.79,19.0,6,29,62.07,49.8,41.83,High Risk
229,84.46,6.33,6,17,66.42,50.19,41.63,High Risk
230,100.0,35.08,7,28,83.16,64.9,62.31,Medium Risk
231,61.64,18.15,10,24,66.24,55.32,47.83,High Risk
232,49.45,32.91,0,20,77.6,46.55,33.6,High Risk
233,68.68,5.3,0,23,75.55,33.11,23.22,High Risk
234,100.0,33.93,7,18,67.18,60.63,51.62,Medium Risk
235,57.94,12.89,3,18,100.0,43.72,33.66,High Risk
236,94.59,32.31,4,22,82.61,55.69,51.78,Medium Risk
237,95.17,25.14,7,14,50.7,47.05,33.28,High Risk
238,61.7,15.46,4,18,77.24,50.1,41.65,High Risk
239,78.53,20.93,9,15,67.06,57.8,50.56,Medium Risk
240,94.43,31.86,3,15,85.23,60.71,56.56,Medium Risk
241,64.31,26.06,5,6,65.49,56.58,52.72,Medium Risk
242,66.95,30.84,4,27,73.62,49.38,41.31,High Risk
243,61.27,44.76,6,15,81.06,70.47,64.14,Medium Risk
244,54.78,9.36,9,18,85.39,53.72,47.93,High Risk
245,60.26,41.17,6,4,60.6,55.88,49.91,High Risk
246,51.64,26.04,3,23,70.99,45.99,33.85,High Risk
247,70.51,16.01,4,8,69.3,40.99,31.99,High Risk
248,58.45,11.7,2,15,67.16,39.03,27.51,High Risk
249,73.51,23.11,3,3,96.19,60.87,53.9,Medium Risk
250,46.66,34.22,3,30,79.86,46.97,39.21,High Risk
251,74.96,23.72,2,15,59.87,43.97,34.19,High Risk
252,82.5,40.11,9,13,86.01,64.62,59.12,Medium Risk
253,40.09,10.49,4,9,100.0,42.62,34.28,High Risk
254,75.61,24.88,4,2,87.39,60.28,53.31,Medium Risk
255,88.42,12.48,10,24,56.77,56.87,52.46,Medium Risk
256,51.86,28.64,6,8,69.19,53.8,48.94,High Risk
257,95.09,33.87,3,29,90.2,56.41,54.32,Medium Risk
258,76.29,20.79,3,30,66.51,37.81,28.53,High Risk
259,59.42,0.0,8,20,80.33,38.46,30.12,High Risk
260,69.16,26.99,5,17,84.3,49.45,42.81,High Risk
261,78.37,29.37,3,13,63.88,52.5,44.1,High Risk
262,71.14,29.04,1,1,74.29,43.88,39.16,High Risk
263,78.08,37.36,5,2,36.1,46.34,42.86,High Risk
264,56.19,14.29,1,30,62.71,29.97,19.33,High Risk
265,72.54,31.8,4,15,71.97,49.49,40.72,High Risk
266,48.79,36.93,5,12,60.03,43.31,33.42,High Risk
267,68.33,7.21,3,14,94.59,49.57,43.88,High Risk
268,56.44,28.2,2,25,57.84,42.86,30.65,High Risk
269,58.97,19.96,6,29,69.72,45.95,39.09,High Risk
270,88.54,24.18,1,2,76.57,53.17,45.3,High Risk
271,86.37,28.48,10,18,92.3,68.2,66.15,Medium Risk
272,79.14,20.13,5,22,57.77,50.55,45.36,High Risk
273,53.62,18.24,3,7,88.96,52.4,47.02,High Risk
274,65.25,25.34,5,29,75.12,46.01,35.67,High Risk
275,88.2,14.13,3,23,63.22,45.51,35.98,High Risk
276,72.13,14.14,3,29,80.55,42.7,30.96,High Risk
277,100.0,31.79,3,25,77.39,51.77,43.81,High Risk
278,75.9,13.51,8,6,67.8,55.45,53.34,Medium Risk
279,72.88,31.66,6,14,75.84,61.27,51.3,Medium Risk
280,65.36,29.63,2,8,70.38,57.6,51.06,Medium Risk
281,72.0,7.74,2,27,76.36,39.18,27.69,High Risk
282,67.71,18.22,5,22,82.95,47.65,40.51,High Risk
283,80.62,36.94,5,2,94.03,68.45,62.78,Medium Risk
284,84.35,15.19,3,17,60.15,38.92,31.39,High Risk
285,58.21,20.36,8,5,100.0,67.9,63.36,Medium Risk
286,50.03,29.62,3,14,51.57,48.45,45.76,High Risk
287,42.46,32.83,8,25,73.18,50.29,41.17,High Risk
288,77.62,22.48,3,24,82.06,44.43,38.23,High Risk
289,53.45,19.02,1,30,78.37,36.22,24.58,High Risk
290,37.71,39.22,1,29,67.53,40.39,27.09,High Risk
291,75.83,42.39,4,20,72.5,64.14,58.12,Medium Risk
292,100.0,34.79,3,21,69.08,54.49,45.05,High Risk
293,69.91,25.85,6,29,67.93,47.26,36.28,High Risk
294,82.58,16.92,10,21,85.2,52.66,47.14,High Risk
295,71.23,16.7,4,22,79.28,50.14,41.18,High Risk
296,68.52,30.23,5,3,66.69,53.72,51.46,Medium Risk
297,83.79,29.18,9,5,85.8,62.21,59.48,Medium Risk
298,65.65,39.02,3,16,78.69,54.29,44.38,High Risk
299,74.01,31.5,1,18,84.75,57.63,52.99,Medium Risk
300,74.83,9.97,9,26,82.56,47.77,44.38,High Risk
301,59.98,35.52,8,17,65.05,59.81,49.73,High Risk
302,84.88,15.02,9,11,68.28,58.72,52.0,Medium Risk
303,67.38,21.16,6,17,83.97,61.21,54.6,Medium Risk
304,58.66,27.5,3,16,82.32,45.0,38.7,High Risk
305,78.05,44.96,2,26,74.75,51.8,44.03,High Risk
306,56.52,50.0,9,23,76.41,60.82,55.38,Medium Risk
307,70.42,31.07,2,2,90.33,51.96,47.01,High Risk
308,69.86,23.17,8,4,67.9,54.88,49.03,High Risk
309,86.29,30.35,4,21,81.57,56.68,54.6,Medium Risk
310,77.12,33.88,2,7,72.57,58.54,54.05,Medium Risk
311,69.62,21.79,4,2,72.39,61.18,54.04,Medium Risk
312,82.27,42.95,1,30,88.19,49.42,43.64,High Risk
313,90.85,27.3,10,6,84.9,71.2,64.23,Medium Risk
314,78.37,29.98,3,17,84.76,45.25,40.15,High Risk
315,70.16,31.66,9,7,90.67,70.32,68.55,Medium Risk
316,50.32,29.22,1,25,75.25,45.73,38.81,High Risk
317,54.02,33.39,1,5,83.18,58.47,53.54,Medium Risk
318,65.42,18.83,7,5,71.28,65.16,58.02,Medium Risk
319,60.86,19.42,0,20,78.89,42.6,35.72,High Risk
320,67.2,14.0,6,16,73.44,54.98,49.85,High Risk
321,70.85,29.4,4,19,76.16,52.73,44.27,High Risk
322,77.95,32.79,10,9,82.14,60.2,55.01,Medium Risk
323,68.94,29.58,7,5,65.18,62.33,57.48,Medium Risk
324,77.3,41.74,0,8,100.0,53.38,49.14,High Risk
325,70.97,24.94,10,9,62.93,59.38,54.4,Medium Risk
326,40.37,31.69,6,5,60.43,58.39,50.15,Medium Risk
327,55.91,14.08,4,10,88.9,49.67,46.11,High Risk
328,67.84,21.13,3,25,84.5,55.21,50.76,Medium Risk
329,51.85,31.96,6,2,82.49,49.23,46.07,High Risk
330,79.0,33.49,9,9,82.54,67.11,62.54,Medium Risk
331,92.96,22.06,1,11,74.85,55.22,45.96,High Risk
332,88.28,24.28,0,4,64.23,45.97,37.92,High Risk
333,66.8,9.82,0,22,75.91,32.62,23.29,High Risk
334,92.36,21.43,10,22,66.87,51.55,46.88,High Risk
335,72.23,33.9,0,22,86.7,45.42,37.52,High Risk
336,64.94,30.75,4,2,73.24,56.77,51.72,Medium Risk
337,60.8,30.01,9,23,65.09,51.96,42.68,High Risk
338,65.46,25.5,6,29,71.14,47.24,40.72,High Risk
339,64.18,25.07,1,6,79.96,55.75,48.6,High Risk
340,72.56,18.4,9,27,68.24,51.59,45.25,High Risk
341,72.41,31.99,7,14,65.13,53.12,48.27,High Risk
342,70.05,29.21,3,1,77.92,58.93,54.49,Medium Risk
343,76.55,29.92,2,18,77.94,56.54,49.84,High Risk
344,87.86,19.74,9,7,68.92,64.53,58.37,Medium Risk
345,84.24,3.47,10,1,69.35,65.76,62.83,Medium Risk
346,47.73,35.97,7,1,77.78,63.34,62.18,Medium Risk
347,31.69,20.21,1,1,57.62,51.04,41.3,High Risk
348,84.01,16.37,10,24,58.11,39.26,31.32,High Risk
349,49.5,31.93,10,4,66.38,61.38,56.07,Medium Risk
350,66.63,21.08,2,4,72.44,50.25,42.87,High Risk
351,52.45,35.6,2,29,78.73,44.66,36.22,High Risk
352,42.97,31.17,9,18,92.7,54.5,49.35,High Risk
353,78.12,31.84,10,27,85.29,63.18,57.43,Medium Risk
354,81.39,11.34,0,11,73.08,31.39,28.2,High Risk
355,61.35,37.12,5,27,74.77,54.73,45.57,High Risk
356,31.13,27.61,1,1,62.97,40.82,33.3,High Risk
357,61.81,21.31,0,28,74.78,38.27,26.82,High Risk
358,75.88,26.43,1,10,71.54,53.43,45.9,High Risk
359,47.82,7.24,5,9,78.87,50.16,39.51,High Risk
360,72.75,29.09,3,23,65.07,51.58,43.98,High Risk
361,69.77,14.71,5,4,81.23,50.23,44.86,High Risk
362,78.69,11.47,8,28,93.39,49.54,45.94,High Risk
363,71.79,9.78,9,6,73.69,59.56,55.32,Medium Risk
364,55.4,36.13,9,30,79.82,51.91,49.78,High Risk
365,87.95,18.71,7,16,83.28,58.49,54.69,Medium Risk
366,67.62,40.34,0,2,70.19,59.62,55.26,Medium Risk
367,69.59,19.64,7,23,77.69,48.26,42.05,High Risk
368,56.0,7.93,8,18,75.15,45.55,36.83,High Risk
369,63.35,13.83,5,10,76.17,52.68,46.44,High Risk
370,56.73,37.36,9,24,65.72,52.75,46.76,High Risk
371,67.41,23.44,4,24,75.29,47.2,45.06,High Risk
372,95.68,19.52,5,17,80.98,55.08,52.08,Medium Risk
373,49.42,26.6,5,13,92.41,54.19,46.13,High Risk
374,45.8,30.02,8,24,86.51,56.66,48.81,High Risk
375,92.07,36.17,3,18,100.0,55.42,53.87,Medium Risk
376,66.86,39.48,1,22,65.79,49.68,44.14,High Risk
377,59.96,21.4,10,13,85.47,56.31,47.71,High Risk
378,85.6,11.74,10,17,77.2,60.63,57.59,Medium Risk
379,60.92,20.87,8,5,100.0,65.08,61.63,Medium Risk
380,97.39,27.6,1,11,65.3,55.11,45.29,High Risk
381,80.17,15.36,9,7,64.92,59.65,55.47,Medium Risk
382,62.68,15.43,8,29,67.81,46.28,39.11,High Risk
383,100.0,28.44,1,10,49.51,55.19,49.38,High Risk
384,60.91,24.51,7,17,68.69,60.67,51.2,Medium Risk
385,81.13,25.33,8,15,65.89,58.8,52.39,Medium Risk
386,74.49,17.42,9,18,76.8,52.08,45.05,High Risk
387,89.53,22.7,8,23,79.1,53.76,48.51,High Risk
388,93.42,15.76,9,22,97.51,62.18,56.38,Medium Risk
389,70.48,33.9,8,19,86.41,66.51,61.49,Medium Risk
390,58.7,35.35,1,30,68.08,38.27,30.52,High Risk
391,76.9,6.54,3,26,64.22,38.89,26.9,High Risk
392,59.83,15.7,6,2,80.9,63.51,59.76,Medium Risk
393,100.0,10.03,1,26,59.16,39.84,29.74,High Risk
394,72.05,18.5,0,4,96.98,50.81,45.73,High Risk
395,64.52,24.17,2,3,89.15,58.96,54.7,Medium Risk
396,72.77,10.5,3,7,69.37,46.17,40.29,High Risk
397,49.79,15.78,7,24,54.44,33.17,24.16,High Risk
398,55.43,14.96,5,18,91.25,55.27,48.15,High Risk
399,88.01,27.07,10,10,73.63,60.72,56.78,Medium Risk
400,60.15,25.69,1,7,89.85,51.39,47.48,High Risk
401,54.3,17.78,8,8,55.87,54.27,42.39,High Risk
402,78.05,26.77,1,6,67.81,50.8,46.31,High Risk
403,87.79,19.53,4,22,75.06,43.73,31.93,High Risk
404,80.78,22.28,3,26,75.56,43.1,37.56,High Risk
405,84.94,41.73,6,1,69.6,71.86,68.69,Medium Risk
406,58.65,38.4,7,4,82.47,68.83,66.66,Medium Risk
407,48.67,12.0,4,14,62.19,36.53,27.24,High Risk
408,92.52,33.3,9,17,73.29,67.12,63.41,Medium Risk
409,65.16,33.11,4,20,76.44,49.25,41.4,High Risk
410,66.24,13.52,1,18,81.17,41.28,33.63,High Risk
411,89.92,33.19,7,11,83.54,62.05,59.71,Medium Risk
412,78.34,40.38,1,29,61.5,43.1,37.82,High Risk
413,76.84,13.77,9,21,56.59,53.3,45.86,High Risk
414,100.0,15.82,5,26,90.33,52.89,49.25,High Risk
415,60.35,35.18,7,14,78.99,58.17,52.71,Medium Risk
416,83.92,27.71,5,9,66.02,61.59,55.51,Medium Risk
417,70.86,30.51,3,27,93.61,49.57,41.45,High Risk
418,74.03,28.41,3,15,76.39,51.11,45.7,High Risk
419,92.93,28.91,5,12,89.15,68.52,63.37,Medium Risk
420,77.62,11.74,3,10,75.81,51.27,45.11,High Risk
421,78.07,35.47,7,19,99.73,60.04,58.39,Medium Risk
422,86.09,36.7,8,24,96.06,57.95,53.15,Medium Risk
423,64.53,22.71,0,19,72.01,45.69,35.65,High Risk
424,57.41,24.57,3,6,86.66,47.38,40.91,High Risk
425,54.33,9.69,3,20,82.74,44.16,33.0,High Risk
426,40.5,30.14,1,24,91.42,48.84,42.98,High Risk
427,100.0,30.72,5,27,63.42,53.37,48.3,High Risk
428,53.45,24.38,2,6,83.23,42.14,35.29,High Risk
429,66.68,36.24,6,8,87.7,65.48,60.15,Medium Risk
430,65.85,21.66,10,1,53.9,56.62,50.91,Medium Risk
431,74.61,30.65,10,22,60.8,48.48,43.05,High Risk
432,82.24,14.8,4,17,50.53,44.57,36.7,High Risk
433,82.91,24.76,3,17,71.77,43.1,41.56,High Risk
434,61.25,23.26,4,24,83.61,48.12,38.21,High Risk
435,67.49,27.25,7,15,93.03,60.4,55.93,Medium Risk
436,74.24,21.3,2,7,75.89,45.19,42.51,High Risk
437,66.27,23.69,6,19,94.54,53.94,51.07,Medium Risk
